,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
0,frozenset({'DOGE'}),frozenset({'ADA'}),0.16666666666666666,0.3333333333333333,0.08333333333333333,0.5,1.5
1,frozenset({'ADA'}),frozenset({'DOGE'}),0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,1.5
2,frozenset({'LTC'}),frozenset({'ADA'}),0.16666666666666666,0.3333333333333333,0.08333333333333333,0.5,1.5
3,frozenset({'ADA'}),frozenset({'LTC'}),0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,1.5
4,frozenset({'TRX'}),frozenset({'ADA'}),0.20833333333333334,0.3333333333333333,0.125,0.6,1.8
5,frozenset({'ADA'}),frozenset({'TRX'}),0.3333333333333333,0.20833333333333334,0.125,0.375,1.7999999999999998
6,frozenset({'BAKE'}),frozenset({'AVAX'}),0.125,0.4166666666666667,0.08333333333333333,0.6666666666666666,1.5999999999999999
7,frozenset({'AVAX'}),frozenset({'BAKE'}),0.4166666666666667,0.125,0.08333333333333333,0.19999999999999998,1.5999999999999999
8,frozenset({'AVAX'}),frozenset({'BNB'}),0.4166666666666667,0.16666666666666666,0.125,0.3,1.8
9,frozenset({'BNB'}),frozenset({'AVAX'}),0.16666666666666666,0.4166666666666667,0.125,0.75,1.7999999999999998
10,frozenset({'AVAX'}),frozenset({'FLM'}),0.4166666666666667,0.16666666666666666,0.125,0.3,1.8
11,frozenset({'FLM'}),frozenset({'AVAX'}),0.16666666666666666,0.4166666666666667,0.125,0.75,1.7999999999999998
12,frozenset({'AVAX'}),frozenset({'META'}),0.4166666666666667,0.125,0.08333333333333333,0.19999999999999998,1.5999999999999999
13,frozenset({'META'}),frozenset({'AVAX'}),0.125,0.4166666666666667,0.08333333333333333,0.6666666666666666,1.5999999999999999
14,frozenset({'AVAX'}),frozenset({'WRX'}),0.4166666666666667,0.625,0.375,0.8999999999999999,1.44
15,frozenset({'WRX'}),frozenset({'AVAX'}),0.625,0.4166666666666667,0.375,0.6,1.44
16,frozenset({'AXS'}),frozenset({'ETH'}),0.2916666666666667,0.2916666666666667,0.125,0.42857142857142855,1.4693877551020407
17,frozenset({'ETH'}),frozenset({'AXS'}),0.2916666666666667,0.2916666666666667,0.125,0.42857142857142855,1.4693877551020407
18,frozenset({'AXS'}),frozenset({'VTHO'}),0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
19,frozenset({'VTHO'}),frozenset({'AXS'}),0.08333333333333333,0.2916666666666667,0.08333333333333333,1.0,3.4285714285714284
20,frozenset({'AXS'}),frozenset({'XRP'}),0.2916666666666667,0.375,0.16666666666666666,0.5714285714285714,1.5238095238095237
21,frozenset({'XRP'}),frozenset({'AXS'}),0.375,0.2916666666666667,0.16666666666666666,0.4444444444444444,1.5238095238095237
